prolific_pid,gender,age,score,trait,fbaccount,fbfrequency,fblogin,device,browser,attention_check
322cd35488a9d95eeeacc292c69cd9652f5fbfc6cdc29ae0cd5884f1e9552f88,m,27,48,none,yes,daily,no,desktop,Chrome,5.0
5df1582fd0605512215c87ff9635c9ea8f68e9e94257a4a9a7b48288092a6a2d,f,53,24,introvert,yes,weekly,yes,desktop,Chrome,5.0
da2351b3298f21285ee0247376e929a2d5941cb11e6ee4dae3a0361b7cf0555a,f,37,82,extrovert,yes,daily,yes,desktop,Chrome,5.0
4a238723ef8b8e50976b04326a90f985cb4e0dd2220554a25b14abeca1c060c0,m,29,73,extrovert,yes,weekly,yes,desktop,Chrome,5.0
96d5f81aa5277bc16349f0d1b376eb6431ecfb0d85f53237048f0207056ba5bd,m,54,23,introvert,yes,daily,yes,desktop,Chrome,5.0
92e2551ae3040ceb2f83678e7c9447aaf8056b160b1fd0b3c2545c6fef06ff97,f,27,33,extrovert,yes,daily,no,desktop,Chrome,4.0
3cce1ae7238a6a379cc64b4a0c3f7c3e9fb066ca4f9138381898de96d0020a72,f,57,34,extrovert,yes,daily,no,desktop,Chrome,5.0
1afca6cf5d3ef2a336b76d249f87bfc5cdd796d5bd9417680521f338061443fb,f,36,16,introvert,yes,daily,yes,desktop,Chrome,5.0
31cd4fcc3e6c7b217e002150425c3c67fe5615b6eae0ca7f33af4f553fdc96fc,m,26,26,none,yes,weekly,no,desktop,Chrome,5.0
072b5b591c57c6b96a87b8f05a063ee8e7b7095be47510a5b043c0b1f6d06fa0,m,60,26,none,yes,daily,no,desktop,Chrome,5.0
71112923af0afcd07c5aeab20c5b68728665601ed84a363fa6021a5c28d2fe88,m,38,22,introvert,yes,weekly,no,desktop,Chrome,5.0
e56be490322d103a2aa7b006961f4dcb2894d9d35f2556ef0f9a368fb9b6acea,f,60,38,extrovert,yes,weekly,no,desktop,Chrome,5.0
c2f7bc0cdfd84eb801a3dbccac5b417fc765c81c73ffe8571f6a8e20f78f7ffb,f,28,24,none,yes,daily,yes,desktop,Chrome,5.0
714204bedce1c0d9262f89eac1a7124cbfc96d317e63102bfe122ad813461fb6,f,23,24,none,yes,daily,yes,desktop,Chrome,5.0
459636d9ef257737abfd290027762a53489597f24e08ace883ed87feb8dc9ff8,f,25,19,introvert,yes,weekly,yes,desktop,Chrome,5.0
1dc41b94c6b166f8eed1a12f989bf764006b07244b52bdf45a91c2aa6bc117f3,f,52,19,introvert,yes,daily,yes,desktop,Chrome,5.0
f8f36113f4c6f676ba7c8f5b2ea2c22674f4d79aed31c0d6ac7753891359a3ca,m,29,28,none,yes,daily,yes,desktop,Chrome,5.0
f47aaa2882d8a068395a2fdb272618ce5aa07bbd6c936764e4537f2b181fd82b,f,44,32,extrovert,yes,daily,yes,desktop,Chrome,5.0
b89544de6d8053ca365fa9a946833c79efecbb808448e0bfe71d75aec571cad6,f,34,32,extrovert,yes,daily,no,desktop,Chrome,5.0
5d7e9135d7a1901c4899916623a4ad2973ae36d75af182707b0865111dbd6918,m,31,14,introvert,yes,daily,yes,desktop,Chrome,5.0
5300dcdab5599e44a8871e1b889d5817ce0539ca38bdb6c557438ecfcb128265,f,31,22,introvert,yes,daily,yes,desktop,Chrome,5.0
0f9ec1ef2a834933202e63a19c4f03a0aa6aabffd8752085d6218b59a37249d0,m,32,29,none,yes,daily,yes,desktop,Chrome,5.0
b98b39ff48dac080852fbc56be919525c6764bf09cf609bb1b682dc5942eb963,f,62,26,none,yes,monthly,yes,desktop,Chrome,5.0
980a1736f4906df8ac057c573615f0dba0c6249f25b400c4b5d0e3edae00e6aa,m,34,27,none,yes,daily,no,desktop,Chrome,5.0
7958713be7ccc5ac08b15c9b2b4ec58ea904dad7445392307350a6751865b7d6,m,35,21,introvert,yes,weekly,yes,desktop,Chrome,5.0
b97aa0ab84ef27b6ffc70837d1888277216a0f802e77500ff39b833f9090b930,f,30,25,none,yes,daily,no,desktop,Chrome,2.0
8137de86378885c974a61a9a737f397889464ba0c723a71a31810842e197938c,f,43,19,introvert,yes,daily,yes,desktop,Chrome,5.0
20377fa79cbece8854e8b5ece986069aa1a848f49a2d07ebedb05a4316c6a3c8,f,50,26,none,yes,daily,no,desktop,Chrome,5.0
c75efc2e792b3c39a7d19f4ba8361a4875fe2d38c247cff74d664e32caceb287,m,54,26,none,yes,monthly,no,desktop,Chrome,4.0
1b6c5341e919ec56d2370b95511b800b0c65777672103ac16a4248fc8ead6926,f,35,21,introvert,yes,daily,yes,desktop,Chrome,5.0
321d8d61afb4711f594e6e32817ee6241bb1522957a7d6963b8483b55c1f5d52,f,28,31,extrovert,yes,weekly,no,desktop,Chrome,5.0
dc9be4c475b800efc2e8f121b8a3817e4e1004b50673b403ab85c0515b4ed93f,m,33,26,none,yes,daily,no,desktop,Chrome,5.0
8a1e64336abc5f85c70e45728f9f87c1f7e06f6b16c4c70861152b73818ad034,m,34,28,none,yes,daily,no,desktop,Chrome,5.0
16ffffa4697b36e6abc64b1124cf4bb141ae99aa74b7eb6ff9a30fc90d619e0b,m,55,19,introvert,yes,daily,no,desktop,Chrome,5.0
9f49b9a5da2a26c5081aaf5c8b1895a1dcd9e01df9befc1e8c645ae992908a3e,f,50,55,none,yes,daily,yes,desktop,Chrome,5.0
392836166670971643de8ede28e368349a6241229ec0846aeb82156ca4836337,f,53,17,introvert,yes,daily,no,desktop,Chrome,5.0
6d3d94f52e6297db438d1d70068fa119c019b3fc7c9086b45a42af9146eeffe7,f,28,88,extrovert,yes,daily,yes,desktop,Chrome,5.0
d6afc69da502f4cdb22ae774c36b8a204d8a85867ec58bd310b1349c38980b02,f,41,20,introvert,yes,daily,yes,desktop,Chrome,5.0
170a9bafd0060b5738302dfa455a6a0baee7b8e7b6f84566ffa3df0a8d378af4,f,30,88,extrovert,yes,daily,no,desktop,Chrome,5.0
aaf6a409691e6b3791952256dde9d033e4a40e7acac2ea57b771bc3b12e59c89,m,33,49,none,yes,weekly,no,desktop,Chrome,5.0
5cbd9cd3aac879a9814378bdecfe2de71ff2bfe4e43ed88cfbd5a48374c87599,f,43,66,none,yes,daily,yes,desktop,Chrome,5.0
