Trial,Reach,Total,Audience,AdType,Fail,AdID,ProfilingMethod
0,137,316,Introvert,Introvert-ad,179,Introvert-ad-1,Psychometric
1,151,327,Introvert,Introvert-ad,176,Introvert-ad-1,Psychometric
2,171,337,Introvert,Introvert-ad,166,Introvert-ad-1,Psychometric
3,146,276,Introvert,Introvert-ad,130,Introvert-ad-1,Psychometric
4,105,264,Introvert,Introvert-ad,159,Introvert-ad-1,Psychometric
5,237,321,Introvert,Introvert-ad,84,Introvert-ad-1,Psychometric
6,251,307,Introvert,Introvert-ad,56,Introvert-ad-1,Psychometric
7,148,282,Introvert,Introvert-ad,134,Introvert-ad-1,Psychometric
8,190,334,Introvert,Introvert-ad,144,Introvert-ad-1,Psychometric
9,135,232,Introvert,Introvert-ad,97,Introvert-ad-1,Psychometric
0,179,316,Introvert,Extrovert-ad,137,Extrovert-ad-1,Psychometric
1,176,327,Introvert,Extrovert-ad,151,Extrovert-ad-1,Psychometric
2,166,337,Introvert,Extrovert-ad,171,Extrovert-ad-1,Psychometric
3,130,276,Introvert,Extrovert-ad,146,Extrovert-ad-1,Psychometric
4,159,264,Introvert,Extrovert-ad,105,Extrovert-ad-1,Psychometric
5,84,321,Introvert,Extrovert-ad,237,Extrovert-ad-1,Psychometric
6,56,307,Introvert,Extrovert-ad,251,Extrovert-ad-1,Psychometric
7,134,282,Introvert,Extrovert-ad,148,Extrovert-ad-1,Psychometric
8,144,334,Introvert,Extrovert-ad,190,Extrovert-ad-1,Psychometric
9,97,232,Introvert,Extrovert-ad,135,Extrovert-ad-1,Psychometric
0,120,222,Extrovert,Extrovert-ad,102,Extrovert-ad-1,Psychometric
1,202,405,Extrovert,Extrovert-ad,203,Extrovert-ad-1,Psychometric
2,92,185,Extrovert,Extrovert-ad,93,Extrovert-ad-1,Psychometric
3,80,175,Extrovert,Extrovert-ad,95,Extrovert-ad-1,Psychometric
4,24,252,Extrovert,Extrovert-ad,228,Extrovert-ad-1,Psychometric
5,67,189,Extrovert,Extrovert-ad,122,Extrovert-ad-1,Psychometric
6,88,141,Extrovert,Extrovert-ad,53,Extrovert-ad-1,Psychometric
7,56,173,Extrovert,Extrovert-ad,117,Extrovert-ad-1,Psychometric
8,169,217,Extrovert,Extrovert-ad,48,Extrovert-ad-1,Psychometric
9,52,139,Extrovert,Extrovert-ad,87,Extrovert-ad-1,Psychometric
0,102,222,Extrovert,Introvert-ad,120,Introvert-ad-1,Psychometric
1,203,405,Extrovert,Introvert-ad,202,Introvert-ad-1,Psychometric
2,93,185,Extrovert,Introvert-ad,92,Introvert-ad-1,Psychometric
3,95,175,Extrovert,Introvert-ad,80,Introvert-ad-1,Psychometric
4,228,252,Extrovert,Introvert-ad,24,Introvert-ad-1,Psychometric
5,122,189,Extrovert,Introvert-ad,67,Introvert-ad-1,Psychometric
6,53,141,Extrovert,Introvert-ad,88,Introvert-ad-1,Psychometric
7,117,173,Extrovert,Introvert-ad,56,Introvert-ad-1,Psychometric
8,48,217,Extrovert,Introvert-ad,169,Introvert-ad-1,Psychometric
9,87,139,Extrovert,Introvert-ad,52,Introvert-ad-1,Psychometric
0,155,304,Introvert,Introvert-ad,149,Introvert-ad-2,Psychometric
1,139,260,Introvert,Introvert-ad,121,Introvert-ad-2,Psychometric
2,176,303,Introvert,Introvert-ad,127,Introvert-ad-2,Psychometric
3,130,263,Introvert,Introvert-ad,133,Introvert-ad-2,Psychometric
4,166,320,Introvert,Introvert-ad,154,Introvert-ad-2,Psychometric
5,116,220,Introvert,Introvert-ad,104,Introvert-ad-2,Psychometric
6,164,272,Introvert,Introvert-ad,108,Introvert-ad-2,Psychometric
7,154,260,Introvert,Introvert-ad,106,Introvert-ad-2,Psychometric
8,128,245,Introvert,Introvert-ad,117,Introvert-ad-2,Psychometric
9,142,219,Introvert,Introvert-ad,77,Introvert-ad-2,Psychometric
0,149,304,Introvert,Extrovert-ad,155,Extrovert-ad-2,Psychometric
1,121,260,Introvert,Extrovert-ad,139,Extrovert-ad-2,Psychometric
2,127,303,Introvert,Extrovert-ad,176,Extrovert-ad-2,Psychometric
3,133,263,Introvert,Extrovert-ad,130,Extrovert-ad-2,Psychometric
4,154,320,Introvert,Extrovert-ad,166,Extrovert-ad-2,Psychometric
5,104,220,Introvert,Extrovert-ad,116,Extrovert-ad-2,Psychometric
6,108,272,Introvert,Extrovert-ad,164,Extrovert-ad-2,Psychometric
7,106,260,Introvert,Extrovert-ad,154,Extrovert-ad-2,Psychometric
8,117,245,Introvert,Extrovert-ad,128,Extrovert-ad-2,Psychometric
9,77,219,Introvert,Extrovert-ad,142,Extrovert-ad-2,Psychometric
0,90,186,Extrovert,Extrovert-ad,96,Extrovert-ad-2,Psychometric
1,84,148,Extrovert,Extrovert-ad,64,Extrovert-ad-2,Psychometric
2,66,160,Extrovert,Extrovert-ad,94,Extrovert-ad-2,Psychometric
3,98,159,Extrovert,Extrovert-ad,61,Extrovert-ad-2,Psychometric
4,85,192,Extrovert,Extrovert-ad,107,Extrovert-ad-2,Psychometric
5,79,143,Extrovert,Extrovert-ad,64,Extrovert-ad-2,Psychometric
6,80,163,Extrovert,Extrovert-ad,83,Extrovert-ad-2,Psychometric
7,84,158,Extrovert,Extrovert-ad,74,Extrovert-ad-2,Psychometric
8,83,156,Extrovert,Extrovert-ad,73,Extrovert-ad-2,Psychometric
9,56,137,Extrovert,Extrovert-ad,81,Extrovert-ad-2,Psychometric
