prolific_pid,topic,choice,personality,interest_in_topic,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
e8243da2f4badcbf20f1125f288fc161f56953c690d421490a4a157834fa94fb,books,introversion,introvert,3,8704.0,71,Male,White,United States,United States,United States,English,No,Full-Time
e5fb42887615ffbfb365d8dd964872eef38189bfd18b4123cfb51ada12c51e8c,books,introversion,introvert,3,7819.0,57,Male,White,Germany,United States,United States,German,No,Other
2f846c1089194fab935507f58a046350decfc5ea90a39667758743feac171300,books,equal,introvert,1,5512.0,61,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
3ff59727b6c167f18ada3c75693fed5cb0d98e5d34339bacc2b9ff0b4b3d8380,books,introversion,introvert,1,1580.0,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
a6522b5baebf6c7891cb4b65d6263544a8cc5a763143fd61d4d10ded276a762e,books,introversion,introvert,3,737.0,36,Male,White,United States,United States,United States,English,No,Full-Time
ed969ee04e8593d59286e5c9537d0d59733340ed56d8708e249645dc61e9ac2b,books,introversion,introvert,3,3358.0,59,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
8c789f799828a39e17673dfe411ddd43f289a4090b11e453560a3befe1d15aa2,books,introversion,introvert,3,3724.0,49,Male,White,United States,United States,United States,English,No,Full-Time
046a583f1fef98bbbf35508dbe98a26ae4f8c1f67c75595a018c71a63c63e39e,books,introversion,introvert,1,3405.0,56,Male,White,United States,United States,United States,English,No,Full-Time
38d208a9202e917744fb1a33fe948a7b97d5c451ec950da9a3059ab00c9f137c,books,introversion,introvert,3,4232.0,31,Male,White,United States,United States,United States,English,No,Part-Time
a42369950ad1b1a74f654745d2bc6f9400b3c8d5a306f25ae52a46040e04da80,books,introversion,introvert,3,1392.0,31,Female,Asian,United States,United States,United States,English,No,Full-Time
4ebb007939806cec69a033e170d1812b8e6cfd3979c18d341c4c562846e39e70,books,introversion,introvert,1,5025.0,28,Male,Asian,United States,United States,United States,English,No,Full-Time
e9ddb711e6b184fb81b1581f6bf8c0e2b8351b6604569f113fb8ee527ba7c73d,books,introversion,introvert,1,785.0,34,Female,Asian,Japan,United States,Japan,Japanese,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
84db36c0f274975537fbe44af6611a5f901ca29971d956e05f84625370aacd25,books,introversion,introvert,3,5717.0,42,Male,White,United States,United States,United States,English,No,Full-Time
204b35f9398ad00faf3a221a925dbc8e02758fb6bc30e384d032e3d5f4ee7e94,books,introversion,introvert,3,6471.0,29,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
e6d3339a811570a9f7031c9c326e690d788bc8faf689645c688103748445c224,books,introversion,introvert,3,5647.0,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1e511f4bf7486f60d3bddd7f666d1361f239ba541dd49b6fb01e92a978702b48,books,introversion,introvert,4,8133.0,48,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641e3b41c38aa4322be875907f1764e0154343954531c5a8f98cfad6de2b29d6,books,introversion,introvert,1,7650.0,30,Female,Asian,Korea,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
8c6c3d71faffd82ae52a433d5ce225f8be2c620511597acb3f322fc781b5e292,books,introversion,introvert,3,3760.0,37,Male,White,United States,United States,United States,English,No,Full-Time
19c82045377fd2322fa57504ad5c2843187f286e5d4ba249ade83e95ef7280db,books,equal,introvert,4,6899.0,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
ac34f1168337284d22a10ad3fcd765e6d178a86a4e6861e77bd7446bbed1a6e9,books,introversion,introvert,2,1349.0,24,Female,White,United States,United States,United Kingdom,English,No,Part-Time
2c3641480e52d69b7a467cc56ebe7bfa0d373c2705995ea09320f9019b939338,books,introversion,introvert,2,9539.0,64,Male,Asian,United States,United States,United States,English,No,Full-Time
a9e50230766dd2618956ae063b3ed7b3600019e7d96224b38eb5dbcdbd4bca74,books,introversion,introvert,2,1654.0,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
561bba33308b460c3ab029d6a8b232e8b6550e2301ef83ea3265991bfe22dac3,books,extroversion,introvert,2,5844.0,59,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
f31b65c9ef3677b6ccc9f223f21ef4c2c31a0488a96982f72b5fa34bbc2edf1e,books,introversion,introvert,2,9491.0,42,Male,White,United States,United States,United States,English,Yes,Full-Time
279aab10767cb04ab351a709442d3f2effaafa20d64169b5d8bc03f14ef538fa,books,introversion,introvert,3,1571.0,36,Male,White,United States,United States,United States,English,No,Full-Time
5e3ca76f50cb70adf05ca60f66ae372c26f647d16ed2de443ed75847a5d3074a,books,introversion,introvert,3,6023.0,35,Male,Mixed,United States,United States,United States,English,No,Full-Time
e43d44eec7fbb9047fa99085f6d8a48c18836a41b1360f620bb78f9b4d11b7df,books,introversion,introvert,4,7359.0,41,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
9064f0f9fc70b73c882b1ff3b60bf35ccbdc5966c84ef416e66804c02be0a2c6,books,introversion,introvert,3,3354.0,61,Male,White,United States,United States,United States,English,No,Full-Time
56691893db40421711c11e1847e71e39197d4124015e5341cfac5ece840476dd,books,introversion,introvert,0,3559.0,24,Female,White,United States,United States,United States,English,Yes,Full-Time
b4d9c7858e7aa7801b88de032932988124e38a099464d2243a3ba732f6604a7e,books,equal,introvert,4,8348.0,36,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
29933de9bfb7d7bcc106dba28b8b4b8e535d718f1a4912a4e7c9903b216dd863,books,introversion,introvert,1,3309.0,66,Male,White,Netherlands,United States,Netherlands,Dutch,No,Full-Time
22c473471f0c0ea8144858239f5b52adb45c09917b02d63310a72bde7654cf60,books,introversion,introvert,3,681.0,40,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
c7d44cf04c42fd700a766e8d2fd01b7eb87fccdfbcfa51bc268d072d57402bcc,books,equal,introvert,0,545.0,26,Female,Asian,United States,United States,Korea,English,No,Full-Time
b790e82878c10daa7ca636c9a7c61a5f8621f232c0785c44d91acd2cdad7a77b,books,extroversion,introvert,3,2389.0,25,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
8271ae4dda7947f08cc6e04bde322146a1cb3570becd6a3eaca963cbdda8aca3,books,introversion,introvert,3,4499.0,31,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
24a41014c474e1c001e322a5a430f495e16645ff32c4b8093c26db442338a7f6,books,introversion,introvert,1,821.0,50,Female,White,United States,United States,United States,English,No,Full-Time
ed05a23b28eb66dca774d60267fc4b02895bfa96a37addb0ef9a6b8a8bd4d434,books,introversion,introvert,2,3881.0,31,Male,Asian,United States,United States,United States,English,No,Full-Time
f948181cb5fe53c032af4ddf13ea21cb170c3414012c72d215256aa43560e920,books,introversion,introvert,0,6842.0,31,Female,White,United States,United States,United States,English,No,Full-Time
ab4aa5d9268a4bece8e98b252fbb0136828ffc86bac00dfaa1c053361613403e,books,introversion,introvert,4,625.0,35,Female,White,United States,United States,United States,English,No,Part-Time
fe48479bbbbfc73b15e85d65e39c6f886936e3a4d60eb0bf3ba39a0c2eb79f4b,books,equal,introvert,3,3942.0,50,Male,White,United States,United States,United States,English,No,Other
f0ef8b8d56092411f778ecc8f353bca680db14e6d41415756e51a6add6095b43,books,introversion,introvert,2,2724.0,53,Male,White,United States,United States,United States,English,No,Part-Time
2ba3a5ef252ad44729b4755d01897f33262fd9f10bdf4bd9ec865c4629fbd608,books,introversion,introvert,3,5883.0,62,Female,White,United States,United States,United States,English,No,Part-Time
19a1ef07db86155fb84dd9212599c110a07cd890ce9d9fdf9b3be224f20df415,books,extroversion,introvert,2,4900.0,29,Female,White,United States,United States,United States,English,No,Full-Time
0b1a7ead97d854d59c9bb46d86bce2197f0bac535a79ef771d96daabfa40b86e,books,introversion,introvert,3,1826.0,56,Male,White,United States,United States,United States,English,No,Full-Time
dd73aa4ef01506fa0647c38634b080098bdc2d93f7a1ed1920d38014fdb9f68b,books,extroversion,introvert,2,2334.0,39,Male,Asian,United States,United States,United States,English,Yes,Full-Time
6c1eb8623b18c19cc79ab4827e6bd999162d79dd131aef22370114c675f49b82,books,equal,introvert,3,1394.0,38,Male,Other,United States,United States,United States,English,No,Full-Time
ee6bfaa23b8812bbc0aa3919ad19cb589ecfda91a6ee11aa3fe812930baa5148,books,introversion,introvert,3,4770.0,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
dda96bba936f508f28b8a119bbee7263c586b0fc6226d486a62f05b0ac8f6b72,books,introversion,introvert,3,6400.0,50,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
fd31081c3741c3838ee2a87a5526a4e11399ec1a6f1069ea177d3fd8ac40c89d,books,equal,introvert,4,938.0,39,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
aef56c133a608450b75130630c5a3fc91fdfa1841ca94ca8703b6efedb5a570c,books,introversion,introvert,1,5361.0,49,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
