Audience Personality,Profiling Method,Ad Type,Ad Design,Ad Choice,UserID,Engaged
Extrovert,Website,Introvert,Design 1,Introvert,1,1
Extrovert,Website,Introvert,Design 1,Introvert,2,1
Extrovert,Website,Introvert,Design 1,Introvert,3,1
Extrovert,Website,Introvert,Design 1,Introvert,4,1
Extrovert,Website,Introvert,Design 1,Introvert,5,1
Extrovert,Website,Introvert,Design 1,Introvert,6,1
Extrovert,Website,Introvert,Design 1,Introvert,7,1
Extrovert,Website,Introvert,Design 1,Introvert,8,1
Extrovert,Website,Introvert,Design 1,Introvert,9,1
Extrovert,Website,Introvert,Design 1,Introvert,10,1
Extrovert,Website,Introvert,Design 1,Introvert,11,1
Extrovert,Website,Introvert,Design 1,Introvert,12,1
Extrovert,Website,Introvert,Design 1,Introvert,13,0
Extrovert,Website,Introvert,Design 1,Introvert,14,0
Extrovert,Website,Introvert,Design 1,Introvert,15,0
Extrovert,Website,Introvert,Design 1,Introvert,16,0
Extrovert,Website,Introvert,Design 1,Introvert,17,0
Extrovert,Website,Introvert,Design 1,Introvert,18,0
Extrovert,Website,Introvert,Design 1,Introvert,19,0
Extrovert,Website,Introvert,Design 1,Introvert,20,0
Extrovert,Website,Introvert,Design 1,Introvert,21,0
Extrovert,Website,Introvert,Design 1,Introvert,22,0
Extrovert,Website,Introvert,Design 1,Introvert,23,0
Extrovert,Website,Introvert,Design 1,Introvert,24,0
Extrovert,Website,Introvert,Design 1,Introvert,25,0
Extrovert,Website,Introvert,Design 1,Introvert,26,0
Extrovert,Website,Introvert,Design 1,Introvert,27,0
Extrovert,Website,Introvert,Design 1,Introvert,28,0
Extrovert,Website,Introvert,Design 1,Introvert,29,0
Extrovert,Website,Introvert,Design 1,Introvert,30,0
Extrovert,Website,Introvert,Design 1,Introvert,31,0
Extrovert,Website,Introvert,Design 1,Introvert,32,0
Extrovert,Website,Introvert,Design 1,Introvert,33,0
Extrovert,Website,Introvert,Design 1,Introvert,34,0
Extrovert,Website,Introvert,Design 1,Introvert,35,0
Extrovert,Website,Introvert,Design 1,Introvert,36,0
Extrovert,Website,Introvert,Design 1,Introvert,37,0
Extrovert,Website,Introvert,Design 1,Introvert,38,0
Extrovert,Website,Introvert,Design 1,Introvert,39,0
Extrovert,Website,Introvert,Design 1,Introvert,40,0
Extrovert,Website,Introvert,Design 1,Introvert,41,0
Extrovert,Website,Introvert,Design 1,Introvert,42,0
Extrovert,Website,Introvert,Design 1,Introvert,43,0
Extrovert,Website,Introvert,Design 1,Introvert,44,0
Extrovert,Website,Introvert,Design 1,Introvert,45,0
Extrovert,Website,Introvert,Design 1,Introvert,46,0
Extrovert,Website,Introvert,Design 1,Introvert,47,0
Extrovert,Website,Introvert,Design 1,Introvert,48,0
Extrovert,Website,Introvert,Design 1,Introvert,49,0
Extrovert,Website,Introvert,Design 1,Introvert,50,0
Extrovert,Website,Introvert,Design 1,Introvert,51,0
Extrovert,Website,Introvert,Design 1,Introvert,52,0
Extrovert,Website,Introvert,Design 1,Introvert,53,0
Extrovert,Website,Introvert,Design 1,Introvert,54,0
Extrovert,Website,Introvert,Design 1,Introvert,55,0
Extrovert,Website,Introvert,Design 1,Introvert,56,0
Extrovert,Website,Introvert,Design 1,Introvert,57,0
Extrovert,Website,Introvert,Design 1,Introvert,58,0
Extrovert,Website,Introvert,Design 1,Introvert,59,0
Extrovert,Website,Introvert,Design 1,Introvert,60,0
Extrovert,Website,Introvert,Design 1,Introvert,61,0
Extrovert,Website,Introvert,Design 1,Introvert,62,0
Extrovert,Website,Introvert,Design 1,Introvert,63,0
Extrovert,Website,Introvert,Design 1,Introvert,64,0
Extrovert,Website,Introvert,Design 1,Introvert,65,0
Extrovert,Website,Introvert,Design 1,Introvert,66,0
Extrovert,Website,Introvert,Design 1,Introvert,67,0
Extrovert,Website,Introvert,Design 1,Introvert,68,0
Extrovert,Website,Introvert,Design 1,Introvert,69,0
Extrovert,Website,Introvert,Design 1,Introvert,70,0
Extrovert,Website,Introvert,Design 1,Introvert,71,0
Extrovert,Website,Introvert,Design 1,Introvert,72,0
Extrovert,Website,Introvert,Design 1,Introvert,73,0
Extrovert,Website,Introvert,Design 1,Introvert,74,0
Extrovert,Website,Introvert,Design 1,Introvert,75,0
Extrovert,Website,Introvert,Design 1,Introvert,76,0
Extrovert,Website,Introvert,Design 1,Introvert,77,0
Extrovert,Website,Introvert,Design 1,Introvert,78,0
Extrovert,Website,Introvert,Design 1,Introvert,79,0
Extrovert,Website,Introvert,Design 1,Introvert,80,0
Extrovert,Website,Introvert,Design 1,Introvert,81,0
Extrovert,Website,Introvert,Design 1,Introvert,82,0
Extrovert,Website,Introvert,Design 1,Introvert,83,0
Extrovert,Website,Introvert,Design 1,Introvert,84,0
Extrovert,Website,Introvert,Design 1,Introvert,85,0
Extrovert,Website,Introvert,Design 1,Introvert,86,0
Extrovert,Website,Introvert,Design 1,Introvert,87,0
Extrovert,Website,Introvert,Design 1,Introvert,88,0
Extrovert,Website,Introvert,Design 1,Introvert,89,0
Extrovert,Website,Introvert,Design 1,Introvert,90,0
Extrovert,Website,Introvert,Design 1,Introvert,91,0
Extrovert,Website,Introvert,Design 1,Introvert,92,0
Extrovert,Website,Introvert,Design 1,Introvert,93,0
Extrovert,Website,Introvert,Design 1,Introvert,94,0
Extrovert,Website,Introvert,Design 1,Introvert,95,0
Extrovert,Website,Introvert,Design 1,Introvert,96,0
Extrovert,Website,Introvert,Design 1,Introvert,97,0
